gene_symbol	variants	broad_loci_500kb	axes	axis_count	score_bands	source_sets	single_gene_variant_count	three_dimensional_link_count	crispr_link_count	catalog_distinct_exact_rsid_count	max_n_traits	max_n_families	median_max_score	example_variants
RHOD	4	1	neural_enriched;neuro_systemic;systemic_non_neural	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	4	0	4	15	6	0.24364391	rs17584120;rs7934433;rs11607327;rs7932636
SKP1	4	1	neural_enriched;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	4	0	4	10	4	0.232899965	rs10051026;rs2284317;rs254051;rs328040
NFE2L2	4	1	neural_enriched;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	12	6	0.22404605500000002	rs2706113;rs2251139;rs6433653;rs10754988
RAB11FIP1	3	1	mixed_trait_axis;neural_enriched;systemic_non_neural	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	3	3	0	3	11	7	0.20403448	rs7820872;rs1054748;rs7817179
NF1	3	1	neural_enriched;neuro_systemic;systemic_non_neural	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	14	5	0.19587635	rs4795570;rs2905808;rs112417609
POR	3	1	mixed_trait_axis;neural_enriched;systemic_non_neural	3	moderate_0.2_0.5	core_exact_n10	1	3	0	3	23	8	0.26025394	rs42184;rs4728533;rs7804806
EI24	3	1	mixed_trait_axis;neural_enriched;neuro_systemic	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	7	0.26398617	rs600883;rs2845835;rs2702023
MEAF6	3	1	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	7	0.21339448	rs215210;rs215211;rs215208
ZC3H12A	3	1	neuro_systemic;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	16	7	0.21339448	rs215210;rs215211;rs215208
HNRNPA3	3	1	neural_enriched;systemic_non_neural;systemic_other	3	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	0	3	0	3	12	6	0.22604898	rs2706113;rs2251139;rs6433653
MYL6	3	1	neural_enriched;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	6	0.30215845	rs6581091;rs10747761;rs1274495
SUOX	3	1	neural_enriched;systemic_non_neural;systemic_other	3	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	12	6	0.30215845	rs6581091;rs10747761;rs1274495
RAB43	7	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	4	7	0	7	15	6	0.31460336	rs6767719;rs4927904;rs2046259;rs11719332;rs9826460;rs9289337;rs4927931
TMEM242	5	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	5	5	0	5	9	6	0.29926217	rs2800443;rs2749665;rs2251507;rs2749663;rs2749664
PUF60	5	1	mixed_trait_axis;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	5	0	5	19	9	0.3903158	rs4874100;rs4875051;rs4875059;rs4875060;rs12681370
DAPK2	4	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	4	4	0	4	14	6	0.239634045	rs11639443;rs4776701;rs12911272;rs4776697
FYTTD1	4	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	4	0	4	14	7	0.23579566000000002	rs635652;rs624721;rs611635;rs7616886
LRCH3	4	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	4	0	4	14	6	0.27208512500000004	rs2885470;rs841673;rs624721;rs611635
TXNRD1	4	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10	1	4	0	4	13	4	0.311437455	rs4964761;rs7960443;rs10861170;rs4246269
GNA13	4	1	neuro_systemic;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	34	10	0.359600945	rs4791250;rs7212449;rs17685439;rs5022415
PHPT1	4	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	11	6	0.24616756499999998	rs6560653;rs2811793;rs2811795;rs4546744
FGF11	4	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	10	5	0.23773281	rs4632183;rs11078682;rs2111437;rs9890920
SENP3	4	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	10	5	0.23773281	rs4632183;rs11078682;rs2111437;rs9890920
TNFSF12	4	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	4	0	4	10	5	0.23773281	rs4632183;rs11078682;rs2111437;rs9890920
RRN3	3	1	neuro_systemic;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	3	3	0	3	19	10	0.3799939	rs2941266;rs2457526;rs2966138
SPTSSA	3	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	24	10	0.21243767	rs12892302;rs12884423;rs8011795
PRR5L	3	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10	3	3	0	3	13	8	0.2703038	rs5030416;rs5030419;rs331457
TSC22D1	3	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	14	8	0.2440332	rs1571934;rs4941501;rs9533839
USP12	3	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	3	3	0	3	10	8	0.17107771	rs3094294;rs7981153;rs1537434
CHRAC1	3	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	13	7	0.30589476	rs56328790;rs11780595;rs12678954
SPIDR	3	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	3	3	0	3	9	7	0.2329046	rs4608108;rs4873478;rs114653490
DIP2C	3	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	21	6	0.25217935	rs10904535;rs883728;rs1672535
MAPKAPK3	3	1	neural_enriched;neuro_systemic	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	3	3	0	3	10	6	0.21855298	rs35694819;rs57361338;rs61018691
PSMA6	3	1	neuro_systemic;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	3	0	3	10	4	0.23529042	rs17103212;rs7143346;rs8015175
ZNF92	3	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	23	8	0.35197648	rs147935040;rs4718277;rs4718273
LARGE2	3	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	1	3	0	3	19	7	0.33036017	rs1401421;rs2959095;rs2959101
PRKRIP1	3	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	12	6	0.24967447	rs4481505;rs1534243;rs7384178
DPM2	3	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	1	3	0	3	6	5	0.21895294	rs7026115;rs7028190;rs1571141
HEATR5A	3	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	1	3	0	3	15	5	0.25703618	rs11844036;rs5025288;rs3887865
LSP1	3	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	3	0	3	13	6	0.32596713	rs548195;rs629781;rs613638
TMEM94	3	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	11	6	0.20538901	rs11652993;rs4238984;rs3935674
TNNT3	3	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	0	3	0	3	13	6	0.32596713	rs548195;rs629781;rs613638
TSEN54	3	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	11	6	0.20538901	rs11652993;rs4238984;rs3935674
CHRNB1	3	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	10	5	0.24570435	rs4632183;rs11078682;rs9890920
TMEM141	3	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	lower_recurrence_exact	0	3	0	3	9	5	0.21531543	rs2811793;rs2811795;rs4546744
TNFSF13	3	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	10	5	0.24570435	rs4632183;rs11078682;rs9890920
ABHD17B	3	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	11	4	0.22016281	rs4330750;rs7030498;rs10869073
C9ORF85	3	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	11	4	0.22016281	rs4330750;rs7030498;rs10869073
PPP2CA	3	1	neural_enriched;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	0	3	0	3	10	4	0.24208935	rs10051026;rs2300065;rs328040
SAR1B	2	1	mixed_trait_axis;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	23	11	0.34450866999999996	rs4958192;rs17713112
PHLPP1	2	1	mixed_trait_axis;neural_enriched	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	22	9	0.282249875	rs500978;rs551944
EIF2AK3	2	1	neuro_systemic;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	16	7	0.234277175	rs335124;rs10179543
EPS8	2	1	mixed_trait_axis;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	23	7	0.346312495	rs11835559;rs11829666
KANSL1L	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	2	2	0	2	12	7	0.28053626499999995	rs1155845;rs6754591
LUZP1	2	1	neuro_systemic;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	7	0.203254225	rs1050096;rs11574
NET1	2	1	neural_enriched;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10	2	2	0	2	12	7	0.22091621	rs12412562;rs9423434
SIX1	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	8	7	0.358904495	rs10144292;rs767603
TUBB2A	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	16	7	0.26702564	rs4327733;rs9501935
WBP1	2	1	mixed_trait_axis;neural_enriched	2	moderate_0.2_0.5	core_exact_n10	2	2	0	2	31	7	0.25545888	rs41285991;rs13023123
ANO6	2	1	systemic_non_neural;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	10	6	0.19359044	rs7307262;rs2012937
HABP4	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	6	0.258428435	rs16912150;rs12550882
IL34	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	13	6	0.26350540499999997	rs2303793;rs11641683
LRP6	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	2	2	0	2	11	6	0.271003275	rs2160589;rs7134001
NAT10	2	1	neuro_systemic;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	12	6	0.188757245	rs12577490;rs17771070
PRKRA	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10	2	2	0	2	14	6	0.26225208	rs1559908;rs9967820
SLC4A8	2	1	neuro_systemic;systemic_non_neural	2	moderate_0.2_0.5	lower_recurrence_exact	2	2	0	2	9	6	0.34702265	rs7961653;rs4491281
HIF1A	2	1	neuro_systemic;systemic_other	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	5	0.196882705	rs2252357;rs12434438
KIFC3	2	1	systemic_non_neural;systemic_other	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	5	0.266734335	rs4255774;rs4255775
NGDN	2	1	neural_enriched;neuro_systemic	2	moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	14	5	0.22420909	rs69931;rs12323646
TANK	2	1	neural_enriched;systemic_non_neural	2	hidden_lt0.2;moderate_0.2_0.5	core_exact_n10;lower_recurrence_exact	2	2	0	2	11	5	0.196279645	rs10164593;rs1267050
TMEM184C	2	1	neural_enriched;systemic_non_neural	2	moderate_0.2_0.5	core_exact_n10	2	2	0	2	15	5	0.32660523	rs4835093;rs6836509
